Full of life & exciting [Latitude],Full of life & exciting [Longitude],Full of life & exciting [# times visited],Full of life & exciting [Duration],Chaotic & restless [Latitude],Chaotic & restless [Longitude],Chaotic & restless [# times visited],Chaotic & restless [Duration],Calm & tranquil [Latitude],Calm & tranquil [Longitude],Calm & tranquil [# times visited],Calm & tranquil [Duration],Boring & lifeless [Latitude],Boring & lifeless [Longitude],Boring & lifeless [# times visited],Boring & lifeless [Duration]
1.2865354735431531,103.85431911642456,4,15.0,1.283939748409706,103.85228063757324,4,45,1.2804752020804904,103.85540272886657,4,30,1.277654221269594,103.8537183016052,3,30
1.2818753,103.848938,4,20.0,1.2866714,103.8490196,4,30,1.2938682,103.8466283,2,90,1.2980833,103.8440979,3,5
1.2889583865489276,103.85587682953036,1,100.0,1.4540519461358086,103.8129132055298,1,30,1.4432380545689842,103.81797721614991,2,30,1.2626972327664396,103.80505882911376,1,10
1.3048205,103.8321984,4,20.0,1.2833605366564291,103.8513365,1,5,1.2867892,103.8545014,1,30,1.3002063,103.8634707,1,5
1.277967867411151,103.8587164068923,2,120.0,1.281301116027272,103.8518085687866,4,5,1.29378632808838,103.8467016428222,3,120,1.2918985336294262,103.8577738016357,1,30
1.2812367591059233,103.84816076452636,4,120.0,1.292585004504201,103.85155107672118,4,60,1.2952558034847883,103.84622957403565,4,90,1.269459415361328,103.86026289160156,3,60
1.2915982025633872,103.8465299814453,2,15.0,1.2837895824121983,103.84378339941404,4,60,1.293571806061478,103.84678747351072,2,120,1.2757664148899217,103.84550001318358,4,15
1.2846547,103.8609937,4,120.0,1.3048205,103.8321984,4,150,1.2814942,103.8448202,4,210,1.283124561460082,103.85148670370482,4,60
1.304456764829696,103.83264686758422,4,360.0,1.3063143828963295,103.85232355291748,4,60,1.311033839432037,103.81515886480712,4,90,1.2765708780052964,103.83713152105712,2,30
1.3016335260676395,103.85399221772153,4,60.0,1.306386617591271,103.85172358968808,2,60,1.2922592844082248,103.84712182645876,2,90,1.286895065823725,103.85447303068848,2,30
1.2904932717526976,103.85616583941176,4,60.0,1.3021504370963128,103.85562104605502,4,60,1.2940076383625916,103.84668194179942,4,150,1.2914000996235195,103.85811767988278,1,30
1.2815210021630503,103.84380485708616,2,30.0,1.2847120305432764,103.8442769258728,2,10,1.287715347731106,103.85171200926207,4,20,1.2993102640250729,103.84336497480771,1,5
1.2873923723627032,103.8474600576416,1,30.0,1.2924980041042904,103.849691655542,1,30,1.289280170166519,103.85252406826172,1,30,1.2830161084448934,103.85857513179933,1,30
1.284732291267099,103.86076381435548,4,45.0,1.2951580770814142,103.85836055507814,4,60,1.2934848056953958,103.84600093593752,4,40,1.2993871,103.8486967,4,5
1.2990374717356,103.85541060417442,4,120.0,1.3073459575172388,103.85221388873168,4,60,1.2818883289452234,103.86944580783226,4,120,1.2907475446344543,103.86394089158846,4,30
1.3025572,103.834568,4,180.0,1.2902661445769648,103.84546101468048,4,60,1.2773502808197112,103.84218747133332,4,30,1.2770766963076532,103.83915378484193,4,15
1.2803572143521558,103.8499524801483,4,120.0,1.2810651406410714,103.85038163359069,4,60,1.285806096499533,103.85882522756955,4,60,1.2865837411342858,103.84656753237152,4,15
1.281683768895364,103.8438306584504,4,60.0,1.3059510915652583,103.85157249293398,4,60,1.2793417690157431,103.86205042478478,4,60,1.2811011790531797,103.8696901051918,1,60
1.279551560866025,103.84670903911744,4,15.0,1.28120741139635,103.85031862189923,4,5,1.2756150568553015,103.84959509601748,4,20,1.284215247674675,103.85151578720188,4,15
1.3039288,103.8319512,4,120.0,1.3199572,103.8439076,4,30,1.293076,103.8520677,4,120,1.2668901,103.8599513,2,60
1.2755518913500044,103.8381185739746,4,60.0,1.284232369619944,103.8515209648558,4,60,1.2879084180007545,103.85764505560302,4,45,1.2838542731199116,103.85120178198288,2,15
1.3048205,103.8321984,1,30.0,1.3045456,103.8339449,1,180,1.2815683,103.8636132,1,180,1.2793746,103.8527473,1,60
1.2863626638805248,103.85415485134278,4,30.0,1.2844319593564066,103.84346893062744,4,60,1.292519456316872,103.85223438968812,4,30,1.2715176539136874,103.86351039638672,1,30
1.2843193348808069,103.85855903854524,4,120.0,1.2818992482241502,103.84371435275231,4,120,1.294793389822157,103.84566834201966,4,180,1.2891943612058523,103.86316707363282,1,30
1.3035673216488748,103.83188178768312,4,120.0,1.305712532610826,103.85072162380372,4,120,1.2886795073806845,103.8467734121338,4,180,1.302237289934529,103.86496951809085,4,60
1.2445733143725792,103.84308269252932,1,60.0,1.2756365092095707,103.86621406307374,1,60,1.2862768548214774,103.88067653408204,1,60,1.2586461888522027,103.83783271541748,1,10
1.3027962368007897,103.8358869760742,4,10.0,1.3057459023057068,103.85136868650817,4,20,1.2883522114124049,103.851791134428,4,30,1.2843151633649017,103.85152693684005,4,15
1.289774763186544,103.8452854364624,4,30.0,1.3005437626347298,103.85493602449796,4,15,1.2929282398719597,103.84700205023192,4,60,1.2864067599623552,103.84685184652707,1,15
1.2865771865152178,103.8535111211792,4,60.0,1.2826442477960036,103.851283579969,1,60,1.2805276413080584,103.86273792019044,4,180,1.2840455636744892,103.85148660701452,1,60
1.2867568492079406,103.85445794096148,4,45.0,1.2895912276249144,103.84521773090516,4,60,1.2936564233242709,103.84685924282228,4,45,1.28923726568651,103.85506680240783,4,15
1.2843032456695689,103.85848930111084,4,30.0,1.2841530796934215,103.8434582017914,4,30,1.292540908529263,103.84728839626466,4,60,1.3052620384604765,103.82402827968752,4,15
1.298910352158468,103.85549122698364,4,180.0,1.3001026570716356,103.8459222455078,4,20,1.290393317849277,103.85100171586912,4,120,1.3154607230432376,103.80662085483398,4,10
1.2825795,103.8434675,4,45.0,1.293076,103.8520677,4,15,1.2938682,103.8466283,4,45,1.2928181,103.8598344,2,60
1.284312312759436,103.851885806869,4,15.0,1.2971464468854466,103.85710521851246,4,5,1.2825138867025876,103.86618562221165,4,15,1.2899131863551063,103.84495672351484,4,3
1.2995557722478028,103.85426213970338,1,60.0,1.30169026055773,103.854015376474,1,30,1.2932702836430114,103.84647300472412,1,60,1.279068883587111,103.84827544918214,1,30
1.2879084180007545,103.85481264288327,4,50.0,1.2913836803516443,103.84987737829589,4,60,1.283703773266818,103.8595333307495,4,50,1.288337462992109,103.84073640997312,4,60
